created,text,retwc,hashtag,followers,friends
2017-04-25 02:19:15,b'RT @Impeach_D_Trump: Retweet if you wish that President Trump was just 1/2 the man that President Obama was! https://t.co/wfBLqli8VD',203,None,555,1411
2017-04-25 02:19:15,"b""RT @druidDUDE: 2016: Hillary loses election\n\n2017: Heather loses Dancing With the Stars \n\nTRUMP'S AMERICA SUCKS.""",457,None,4271,769
2017-04-25 02:19:15,b'RT @AndreaChalupa: Russia meddling in our election to install Trump as president is a nonpartisan issue. Independent investigation now or w\xe2\x80\xa6',1403,None,520,618
2017-04-25 02:19:15,b'Trump pressures Democrats to fund border wall as govt shutdown looms https://t.co/CWBZRhQA93 https://t.co/02URQt0wey',0,None,9177,5979
2017-04-25 02:19:15,b'RT @AMike4761: BREAKING NEW POLL : Americans\xc2\xa0Faith in Trump Economy Highest Level in 15 Years! \xe2\x80\x93 TruthFeed https://t.co/u9ujPAWRhb',31,None,7881,7458
2017-04-25 02:19:15,b'RT @LawyerRogelio: Obama\xe2\x80\x99s Barrage of Complete Sentences Seen as Brutal Attack on Trump https://t.co/x6daTmo5i0 via @BorowitzReport',314,None,2258,2928
2017-04-25 02:19:15,"b""RT @House_Insider: seanhannity: Dems are trying to distort Pres Trump's accomplishments ahead of his 100th day in office\xe2\x80\xa6 More with n\xe2\x80\xa6 http\xe2\x80\xa6""",4,None,558,517
2017-04-25 02:19:14,"b""RT @ananavarro: Daily Recap: Obama back from vacay; State Dpt hawks Mar-a-Lago; The Wall; Trump says he'll send a man to Mars...many hope h\xe2\x80\xa6""",2369,None,36,84
2017-04-25 02:19:14,"b""RT @ananavarro: Daily Recap: Obama back from vacay; State Dpt hawks Mar-a-Lago; The Wall; Trump says he'll send a man to Mars...many hope h\xe2\x80\xa6""",2369,None,4269,4820
2017-04-25 02:19:14,b'@thehill @petunia4533 Pompous ass. What a joke Trump is.',0,None,26,161
2017-04-25 02:19:14,"b""RT @bannerite: 73% of people want independent commission. If Trump is innocent, we will remove all doubt. If he's guilty, he goes to jail.\xe2\x80\xa6""",27,None,381,130
2017-04-25 02:19:14,b'RT @RBReich: Many of you ask how Trump\xe2\x80\x99s profiting off his presidency can be stopped. https://t.co/IbmgOWlQXi https://t.co/b3nKIZQQ22',649,None,280,566
2017-04-25 02:19:14,b'RT @DaShanneStokes: RT if you think Burr &amp; Nunes never should have been on Trump investigation in the first place. #trumprussia #resist #Bu\xe2\x80\xa6',352,trumprussia,283,782
2017-04-25 02:19:14,"b""RT @keithboykin: If Hillary Clinton were president &amp; engaged in the corruption Trump has the past 3 months, we'd be in the 3rd week of impe\xe2\x80\xa6""",2312,None,1995,2250
2017-04-25 02:19:14,b'RT @Impeach_D_Trump: Retweet if you wish that President Trump was just 1/2 the man that President Obama was! https://t.co/wfBLqli8VD',203,None,588,410
2017-04-25 02:19:14,b'Notable Trump tweets in his first 100 days https://t.co/5xrfDpO0wh https://t.co/mzgD6OYVXG',0,None,3761,4558
2017-04-25 02:19:14,"b""RT @JoyAnnReid: State Dept. uses website to promote Trump's Mar-a-Lago resort https://t.co/hzSwEIGR1H""",1722,None,2503,2773
2017-04-25 02:19:14,"b'@seanhannity @newtgingrich Examining SCOTUS, CR budget bill (military/border funding), AHCA 2.0 talks, Tax Reform p\xe2\x80\xa6 https://t.co/sQ8SnF6qpO'",0,None,41,27
2017-04-25 02:19:14,"b'RT @drewcashmore: ""About five sentences in, I noticed that all of his sentences had both nouns and verbs in them"", said one student https:/\xe2\x80\xa6'",4,None,195,262
2017-04-25 02:19:14,"b'RT @ananavarro: Using the US Presidency and federal resources to hawk the Trump brand, is more than tacky, it is wrong. https://t.co/q4wNdo\xe2\x80\xa6'",197,None,1018,1030
2017-04-25 02:19:14,"b""Sean Spicer: Trump 'has a heart' on immigration https://t.co/OSDLzKPtNL #finance https://t.co/aqyM5W2yhV""",0,finance,3122,3754
2017-04-25 02:19:14,"b""RT @JoyAnnReid: White House Aides: Sir, Mexico isn't paying for the wall.\nTrump: Get congress to!\nAides: well ... I'm not sure...\nTrump: Le\xe2\x80\xa6""",827,None,9028,8913
2017-04-25 02:19:14,"b""Doesn't Congress need to start war? Trump is too stupid to be responsible for our foreign policy.""",0,None,284,403
2017-04-25 02:19:14,"b""RT @POTUS: Join me in congratulating @NASA's @AstroPeggy by using the hashtag #CongratsPeggy! Earlier today: https://t.co/aMpzajpdtw https:\xe2\x80\xa6""",1778,CongratsPeggy,316,309
2017-04-25 02:19:14,b'RT @715Webster: @jpanzer @Amy_Siskind @tribelaw I will vote. I want someone to hold Trump legally accountable for using the presidency to m\xe2\x80\xa6',2,None,29,84
2017-04-25 02:19:14,b'The Wall Street Journal: Trump backs off demand for immediate border-wall funding https://t.co/5FDypMIYOl via @bllshbrsh',0,None,4819,5282
2017-04-25 02:19:14,b'RT @Amy_Siskind: Who can we trust to investigate Trump-Russia scandal?\n*House Intel Com \xe2\x9d\x8c\n*Senate Intel Com \xe2\x9d\x8c\n*Comey \xe2\x9d\x8c\n*McCord/DOJ \xe2\x9d\x8c\n-&gt;inde\xe2\x80\xa6',251,None,3712,4971
2017-04-25 02:19:14,"b""RT @dcexaminer: CBO: Trump's Navy buildup could cost $26 billion per year https://t.co/GXoeuS6rux https://t.co/RvAWFKYmjX""",17,None,3394,4550
2017-04-25 02:19:14,b'RT @Amy_Siskind: Lol. \nDonald Trump \n\nLaws passed: \xf0\x9f\x85\xbe\xef\xb8\x8f\xf0\x9f\x85\xbe\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f\nExecutive orders: 50 (a record)\nApproval ratings: \xf0\x9f\x98\x85\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x85\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3 https://t.co/zEQRHny9gI',316,None,868,2115
2017-04-25 02:19:14,"b""Trump promised those weapons manufactures a war and big payday's  and he's trying to deliver! https://t.co/71SNwU4gWM""",0,None,118,218
2017-04-25 02:19:14,b'Trump Is Said to Seek Cutting Corporate Tax Rate to 15 Percent https://t.co/qpLLu9mTzk',0,None,6991,6764
2017-04-25 02:19:14,"b'RT @Amy_Siskind: WAKE UP AMERICA!  Trump is manufacturing this escalation with N Korea to distract from his 100-day failure, kleptocracy &amp;\xe2\x80\xa6'",1471,None,812,926
2017-04-25 02:19:14,"b""RT @immigrant4trump: 100% Happy I voted for Trump \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\n100% Happy Hillary Lost\n100% Happy it drives liberals nuts!\nLiberals It's NOT Russia I\xe2\x80\xa6""",210,None,863,1683
2017-04-25 02:19:14,b'RT @AndreaChalupa: Russia meddling in our election to install Trump as president is a nonpartisan issue. Independent investigation now or w\xe2\x80\xa6',1403,None,607,727
2017-04-25 02:19:14,"b'RT @ananavarro: Using the US Presidency and federal resources to hawk the Trump brand, is more than tacky, it is wrong. https://t.co/q4wNdo\xe2\x80\xa6'",197,None,87,369
2017-04-25 02:19:13,b'RT @chuckwoolery: #Trump is the most Unpopular/Popular President of all time. Is this a statement or a multiple choice question?',35,Trump,3286,3407
2017-04-25 02:19:13,b'RT @HiMaui: We the people pay $3M/each welfare-a-lago visit but cant have FT PAID STAFFERS EXCLUSIVELY INVESTIGATING TRUMP-russia w/senate\xe2\x80\xa6',7,None,1857,1892
2017-04-25 02:19:13,b'RT @Rosie: well congrats america - USA a kleptocracy now - ad for trump resort on embassy governmental website \nhttps://t.co/NrV184WFP8 #Tr\xe2\x80\xa6',2048,None,49,182
2017-04-25 02:19:13,b'@Lillyteardrop @DaveVK2 Or maybe the same Russian bear that helped Trump win the election ;)',0,None,1507,420
2017-04-25 02:19:13,b'RT @abctweet100: These Trump quotes should frighten any thinking person.\nAmerica has fallen so far\nThat so many fell for such blatant ignor\xe2\x80\xa6',13,None,528,587
2017-04-25 02:19:13,"b""Here's the latest @qz story about Trump: https://t.co/sQX1f7oMep""",0,None,587,470
2017-04-25 02:19:13,"b'RT @Scavino45: Note to to President Trump from the Security Council, after his lunch meeting &amp; surprise Oval Office tour. \ncc: @WhiteHouse\xe2\x80\xa6'",317,None,1560,3342
2017-04-25 02:19:13,b'RT @TheSwogBlog: watch this illegal immigrant celebrate the decline of whites and remind me again why we should go easy on Trump for cuckin\xe2\x80\xa6',258,None,196,280
2017-04-25 02:19:13,"b'A Look Inside the Faux \xe2\x80\x98Anti-Fascist,\xe2\x80\x99 Anti-Trump Group Antifa.'",0,None,46606,50293
2017-04-25 02:19:13,b'I love blocking Trump supporters.',0,None,738,603
2017-04-25 02:19:13,b'@AndyOstroy @LouiseMensch @RawStory @hilaryr @PaulBegala @funder @CheriJacobus @RVAwonk @BarackObama Absurd. Trump\xe2\x80\xa6 https://t.co/JwlJiG1n4T',0,None,2061,1519
2017-04-25 02:19:13,b'@stewart_eden I might as well be Trump tbh.',0,None,214,324
2017-04-25 02:19:13,b'RT @politico: Warren gives Trump\xe2\x80\x99s first 100 days an \xe2\x80\x98F\xe2\x80\x99 https://t.co/qyekVNoWfm via @ludacristiano https://t.co/rWNIryBWyF',31,None,119,259
2017-04-25 02:19:13,"b""RT @masspolitica: seanhannity: Dems are trying to distort Pres Trump's accomplishments ahead of his 100th day in office\xe2\x80\xa6 More with newtging\xe2\x80\xa6""",1,None,3788,5002
2017-04-25 02:19:13,"b""RT @JdkiddD: 16 years of Clinton's and Obama's have entrenched their agenda to destroy America. Trump will stop their Muslim agenda. https:\xe2\x80\xa6""",2,None,126,143
